ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,intented_entry_price,intented_exit_price,stoploss,trade_high_price,trade_low_price,tag,notes,debug
18622978,long,bounce,BANKNIFTY23MAY43600CE,175,2023-05-19 09:47:58.773829,389.01,2023-05-19 09:50:43.392609,360.06428571,-5065.5,388.05,360.2,361,392.65,360.2,,,False
18622466,long,bounce,BANKNIFTY23MAY43500CE,250,2023-05-19 10:01:06.821131,378.15,2023-05-19 10:01:48.415127,357.06,-5272.5,378.0,358.9,359,380.95,358.9,,,False
18622466,long,bounce,BANKNIFTY23MAY43500CE,500,2023-05-19 10:12:34.667611,358.26,2023-05-19 10:12:44.358961,364.75,3245.0,359.4,366.8,349,366.8,357.15,,,False
18623746,short,bounce,BANKNIFTY23MAY43700PE,300,2023-05-19 10:45:56.804590,336.77,2023-05-19 10:50:36.150572,328.375,-2518.5,336.2,327.95,320,346.8,327.95,,,False
18624258,short,bounce,BANKNIFTY23MAY43800PE,150,2023-05-19 11:18:02.701807,328.62,2023-05-19 11:22:43.933990,345.06666667,2467.0,331.35,345.75,301,348.4,315.45,,,False
18622466,long,bounce,BANKNIFTY23MAY43500CE,400,2023-05-19 11:31:08.632382,368.48,2023-05-19 11:31:42.067761,368.65,68.0,368.25,368.0,356,373.5,366.0,,,False
18622466,long,bounce,BANKNIFTY23MAY43500CE,400,2023-05-19 11:32:25.417221,364.68,2023-05-19 11:33:00.303810,372.303125,3049.25,364.1,372.2,352,374.35,364.1,,,False
18624258,short,bounce,BANKNIFTY23MAY43800PE,450,2023-05-19 11:44:19.865638,356.48,2023-05-19 11:47:11.117363,344.91944444,-5202.25,356.5,344.05,345,359.95,344.05,,,False
18624258,short,bounce,BANKNIFTY23MAY43800PE,500,2023-05-19 11:48:23.287318,351.27,2023-05-19 11:48:36.162141,349.14,-1065.0,349.95,348.3,339,351.5,348.3,,,False
18624258,short,bounce,BANKNIFTY23MAY43800PE,625,2023-05-19 11:50:55.325714,350.35,2023-05-19 11:51:16.201090,351.55,750.0,350.3,351.95,342,351.95,346.1,,,False
18624258,short,bounce,BANKNIFTY23MAY43800PE,250,2023-05-19 12:21:02.047670,334.5,2023-05-19 12:21:19.923607,338.45,987.5,333.0,339.15,323,341.55,333.0,,,False
18622978,long,bounce,BANKNIFTY23MAY43600CE,550,2023-05-19 12:51:55.188739,318.85,2023-05-19 12:52:54.877432,322.66590909,2098.75,318.6,322.8,309,324.75,317.35,,,False
18622978,long,bounce,BANKNIFTY23MAY43600CE,550,2023-05-19 13:07:56.748966,330.9,2023-05-19 13:08:16.129432,333.57727272999995,1472.5,329.45,334.3,320,336.05,329.45,,,False
18624258,short,bounce,BANKNIFTY23MAY43800PE,625,2023-05-19 13:14:18.319529,352.63,2023-05-19 13:15:03.131095,342.17400000000004,-6535.0,352.7,343.15,344,353.6,343.15,,,False
18622978,long,bounce,BANKNIFTY23MAY43600CE,500,2023-05-19 13:24:43.257704,335.86,2023-05-19 13:25:25.487535,326.0075,-4926.25,336.05,325.6,326,339.15,325.6,,,False
18624258,short,bounce,BANKNIFTY23MAY43800PE,700,2023-05-19 13:27:51.117599,346.78,2023-05-19 13:28:18.707876,352.97678570999994,4337.75,347.4,352.5,340,353.5,346.15,,,False
18623490,long,bounce,BANKNIFTY23MAY43700CE,550,2023-05-19 14:04:20.060304,305.73,2023-05-19 14:04:50.540449,314.49090909,4818.5,304.3,314.6,295,317.65,303.4,,,False
18624770,short,bounce,BANKNIFTY23MAY43900PE,550,2023-05-19 14:13:52.825502,343.17,2023-05-19 14:14:18.847088,332.62272727000004,-5801.0,343.55,333.0,334,345.15,333.0,,,False
18623490,long,bounce,BANKNIFTY23MAY43700CE,350,2023-05-19 14:38:34.126493,340.74,2023-05-19 14:41:02.399478,368.06428571,9563.5,340.0,370.0,326,370.0,338.3,,,False
