ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,tag,notes,debug
13468674,long,defensive,BANKNIFTY23MAR39500CE,50,2023-03-24 09:19:07.927835,463.45,2023-03-24 09:21:42.375245,417.75,-2285.0,,,False
13469954,short,defensive,BANKNIFTY23MAR39700PE,50,2023-03-24 09:36:11.801004,370.6,2023-03-24 09:36:52.213320,368.625,-98.75,,,False
13469954,short,defensive,BANKNIFTY23MAR39700PE,50,2023-03-24 09:37:09.629176,382.15,2023-03-24 09:38:59.962347,393.1,547.5,,,False
13469442,short,defensive,BANKNIFTY23MAR39600PE,25,2023-03-24 10:04:19.897518,378.8,2023-03-24 10:13:45.100937,369.6,-230.0,,,False
13469954,short,defensive,BANKNIFTY23MAR39700PE,50,2023-03-24 10:17:06.648190,373.7,2023-03-24 10:18:39.860782,395.55,1092.5,,,False
13470978,short,defensive,BANKNIFTY23MAR39800PE,125,2023-03-24 11:15:05.734529,402.79,2023-03-24 11:15:36.370265,380.04,-2843.75,,,False
13469186,long,defensive,BANKNIFTY23MAR39600CE,50,2023-03-24 11:50:32.269619,438.725,2023-03-24 11:54:40.012605,447.8,453.75,,,False
13470978,short,defensive,BANKNIFTY23MAR39800PE,200,2023-03-24 12:32:58.801833,366.46875,2023-03-24 12:33:43.927895,380.6625,2838.75,,,False
13469954,short,defensive,BANKNIFTY23MAR39700PE,125,2023-03-24 13:05:13.388935,343.85,2023-03-24 13:05:59.267057,327.4,-2056.25,,,False
13469954,short,defensive,BANKNIFTY23MAR39700PE,75,2023-03-24 13:41:38.608350,374.41666667,2023-03-24 13:42:30.892044,377.1,201.25,,,False
13468674,long,defensive,BANKNIFTY23MAR39500CE,50,2023-03-24 13:58:36.746784,440.0,2023-03-24 14:00:10.578963,418.125,-1093.75,,,False
13469954,short,defensive,BANKNIFTY23MAR39700PE,25,2023-03-24 14:04:11.615484,381.95,2023-03-24 14:14:42.996326,366.5,-386.25,,,False
13468674,long,defensive,BANKNIFTY23MAR39500CE,50,2023-03-24 14:16:05.386729,404.25,2023-03-24 14:22:14.106464,383.725,-1026.25,,,False
13467650,long,defensive,BANKNIFTY23MAR39400CE,25,2023-03-24 14:42:48.201649,414.95,2023-03-24 14:52:44.783620,381.85,-827.5,,,False
13468930,short,defensive,BANKNIFTY23MAR39500PE,25,2023-03-24 15:22:50.875345,403.45,2023-03-24 15:25:29.940805,406.5,76.25,,,False
