ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,tag,notes,debug
14105346,long,defensive,BANKNIFTY2331639600CE,25,2023-03-16 09:15:32.075349,18.2,2023-03-16 09:15:37.243537,18.65,11.25,,,
14105346,long,defensive,BANKNIFTY2331639600CE,25,2023-03-16 09:15:45.765938,18.65,2023-03-16 09:15:56.304783,18.45,-5.0,,,
14105346,long,defensive,BANKNIFTY2331639600CE,25,2023-03-16 09:16:09.901659,17.65,2023-03-16 09:16:21.476960,16.65,-25.0,,,
14105346,long,defensive,BANKNIFTY2331639600CE,25,2023-03-16 09:16:39.099540,16.55,2023-03-16 09:17:14.116885,16.25,-7.5,,,
14105346,long,defensive,BANKNIFTY2331639600CE,25,2023-03-16 09:18:21.935364,22.3,2023-03-16 09:18:40.818222,21.6,-17.5,,,
14105858,long,defensive,BANKNIFTY2331639700CE,25,2023-03-16 09:19:15.320046,18.05,2023-03-16 09:19:37.092507,14.45,-90.0,,,
14105346,long,defensive,BANKNIFTY2331639600CE,25,2023-03-16 09:20:24.506503,18.6,2023-03-16 09:20:30.386359,18.3,-7.5,,,
14105858,long,defensive,BANKNIFTY2331639700CE,25,2023-03-16 09:20:51.192911,14.3,2023-03-16 09:20:59.162570,13.75,-13.75,,,
14105858,long,defensive,BANKNIFTY2331639700CE,25,2023-03-16 09:23:29.062658,15.6,2023-03-16 09:23:33.935454,15.0,-15.0,,,
14105858,long,defensive,BANKNIFTY2331639700CE,25,2023-03-16 09:24:12.040875,13.75,2023-03-16 09:24:45.694047,15.2,36.25,,,
14105858,long,defensive,BANKNIFTY2331639700CE,25,2023-03-16 09:25:25.810269,16.25,2023-03-16 09:25:51.300560,15.8,-11.25,,,
14104834,long,defensive,BANKNIFTY2331639500CE,25,2023-03-16 09:33:58.309052,16.1,2023-03-16 09:34:04.975905,16.55,11.25,,,
