ticker_token,trade_type,strategy,ticker_symbol,qty,entry_time,entry_price,exit_time,exit_price,pnl,tag,notes,debug
13527554,long,bounce,BANKNIFTY2342042000CE,350,2023-04-19 10:27:34.184327,288.85,2023-04-19 10:31:27.195203,309.95,7385.0,,,False
13537538,short,bounce,BANKNIFTY2342042400PE,250,2023-04-19 10:49:03.023837,277.0,2023-04-19 10:55:37.592536,269.8,-1800.0,,,False
13537538,short,bounce,BANKNIFTY2342042400PE,325,2023-04-19 10:59:21.592037,291.35,2023-04-19 11:16:03.665201,299.0,2486.25,,,False
13527042,long,bounce,BANKNIFTY2342041900CE,400,2023-04-19 11:25:54.776777,313.0,2023-04-19 11:37:08.357687,335.95,9180.0,,,False
13527554,long,bounce,BANKNIFTY2342042000CE,200,2023-04-19 12:57:50.341606,304.2,2023-04-19 13:06:26.839661,265.25,-7790.0,,,False
13527554,long,bounce,BANKNIFTY2342042000CE,325,2023-04-19 13:11:12.396783,244.3,2023-04-19 13:11:37.558126,254.9,3445.0,,,False
13527042,long,bounce,BANKNIFTY2342041900CE,525,2023-04-19 14:23:06.607991,298.1,2023-04-19 14:23:48.301488,299.2,577.5,,,False
13533954,short,bounce,BANKNIFTY2342042300PE,525,2023-04-19 14:40:31.558945,240.05,2023-04-19 14:40:40.037948,244.55,2362.5,,,False
13533954,short,bounce,BANKNIFTY2342042300PE,450,2023-04-19 14:42:24.561564,253.05,2023-04-19 14:42:48.913591,261.7,3892.5,,,False
13527554,long,bounce,BANKNIFTY2342042000CE,450,2023-04-19 15:09:23.271407,237.45,2023-04-19 15:09:30.030540,241.2,1687.5,,,False
